Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity
2019-12-31,111052,USD,2020,Q1,2020-01-29,2020-01-29,17660160000.0,17818416000.0,107162000000.0,20970000000.0,4097000000.0,163231000000.0,37031000000.0,99899000000.0,40457000000.0,177387000000.0,340618000000,45111000000.0,108292000000.0,195239000000.0,,55848000000.0,251087000000.0,45972000000.0,,43977000000.0,89531000000.0,340618000000
2020-03-31,111052,USD,2020,Q2,2020-05-01,2020-05-01,17440404000.0,17618764000.0,94051000000.0,15722000000.0,3334000000.0,143753000000.0,35889000000.0,98793000000.0,41965000000.0,176647000000.0,320400000000,32421000000.0,109507000000.0,185180000000.0,,56795000000.0,241975000000.0,48032000000.0,,33182000000.0,78425000000.0,320400000000
2020-06-30,111052,USD,2020,Q3,2020-07-31,2020-07-31,17250292000.0,17419152000.0,93025000000.0,17882000000.0,3978000000.0,140065000000.0,35687000000.0,100592000000.0,41000000000.0,177279000000.0,317344000000,35325000000.0,112723000000.0,189366000000.0,,55696000000.0,245062000000.0,48696000000.0,,24136000000.0,72282000000.0,317344000000
2020-09-30,111052,USD,2020,Q4,2020-10-30,2021-10-29,17057620000.0,17256524000.0,90943000000.0,16120000000.0,4061000000.0,143713000000.0,36766000000.0,100887000000.0,42522000000.0,180175000000.0,323888000000,42296000000.0,112436000000.0,204059000000.0,,54490000000.0,258549000000.0,50779000000.0,,14966000000.0,65339000000.0,323888000000
2020-12-31,111052,USD,2021,Q1,2021-01-28,2021-01-28,16935119000.0,17113688000.0,76826000000.0,27101000000.0,4973000000.0,154106000000.0,37933000000.0,118745000000.0,43270000000.0,199948000000.0,354054000000,63846000000.0,112043000000.0,231788000000.0,,56042000000.0,287830000000.0,51744000000.0,,14301000000.0,66224000000.0,354054000000
2021-03-31,111052,USD,2021,Q2,2021-04-29,2021-04-29,16753476000.0,16929157000.0,69834000000.0,18503000000.0,5219000000.0,121465000000.0,37815000000.0,134539000000.0,43339000000.0,215693000000.0,337158000000,40127000000.0,121645000000.0,215027000000.0,,52953000000.0,267980000000.0,54203000000.0,,15261000000.0,69178000000.0,337158000000
2021-06-30,111052,USD,2021,Q3,2021-07-28,2021-07-28,16844298000.0,17021423000.0,61696000000.0,17475000000.0,5178000000.0,114423000000.0,38615000000.0,131948000000.0,44854000000.0,215417000000.0,329840000000,40409000000.0,121791000000.0,213506000000.0,,52054000000.0,265560000000.0,54989000000.0,,9233000000.0,64280000000.0,329840000000
2021-09-30,111052,USD,2021,Q4,2021-10-29,2022-10-28,16391724000.0,16519291000.0,62639000000.0,26278000000.0,6580000000.0,134836000000.0,39440000000.0,127877000000.0,48849000000.0,216166000000.0,351002000000,54763000000.0,15613000000.0,125481000000.0,109106000000.0,162431000000.0,287912000000.0,57365000000.0,,5562000000.0,63090000000.0,351002000000
2021-12-31,111052,USD,2022,Q1,2022-01-28,2022-01-28,16391724000.0,16519291000.0,63913000000.0,30213000000.0,5876000000.0,153154000000.0,39245000000.0,138683000000.0,50109000000.0,228037000000.0,381191000000,74362000000.0,122798000000.0,254203000000.0,,55056000000.0,309259000000.0,58424000000.0,,14435000000.0,71932000000.0,381191000000
2022-03-31,111052,USD,2022,Q2,2022-04-29,2022-04-29,16391724000.0,16519291000.0,51511000000.0,20815000000.0,5460000000.0,118180000000.0,39304000000.0,141219000000.0,51959000000.0,232482000000.0,350662000000,52682000000.0,119981000000.0,230831000000.0,,52432000000.0,283263000000.0,61181000000.0,,12712000000.0,67399000000.0,350662000000
2022-06-30,111052,USD,2022,Q3,2022-07-29,2022-07-29,16162945000.0,16262203000.0,48231000000.0,21803000000.0,5433000000.0,112292000000.0,40335000000.0,131077000000.0,52605000000.0,224017000000.0,336309000000,48343000000.0,24991000000.0,129873000000.0,94700000000.0,148329000000.0,278202000000.0,62115000000.0,,5289000000.0,58107000000.0,336309000000
2022-09-30,111052,USD,2022,Q4,2022-10-28,2023-11-03,16215963000.0,16325819000.0,48304000000.0,28184000000.0,4946000000.0,135405000000.0,42117000000.0,120805000000.0,54428000000.0,217350000000.0,352755000000,64115000000.0,21110000000.0,153982000000.0,98959000000.0,148101000000.0,302083000000.0,64849000000.0,,-3068000000.0,50672000000.0,352755000000
2022-12-31,111052,USD,2023,Q1,2023-02-03,2023-02-03,15892723000.0,15955718000.0,51355000000.0,23752000000.0,6820000000.0,128777000000.0,42951000000.0,114095000000.0,60924000000.0,217970000000.0,346747000000,57918000000.0,11483000000.0,137286000000.0,99627000000.0,152734000000.0,290020000000.0,66399000000.0,,3240000000.0,56727000000.0,346747000000
2023-03-31,111052,USD,2023,Q2,2023-05-05,2023-05-05,15787154000.0,15847050000.0,55872000000.0,17936000000.0,7482000000.0,112913000000.0,43398000000.0,110461000000.0,65388000000.0,219247000000.0,332160000000,42945000000.0,12574000000.0,120075000000.0,97041000000.0,149927000000.0,270002000000.0,69568000000.0,,4336000000.0,62158000000.0,332160000000
2023-06-30,111052,USD,2023,Q3,2023-08-04,2023-08-04,15697614000.0,15775021000.0,62482000000.0,19549000000.0,7351000000.0,122659000000.0,43550000000.0,104061000000.0,64768000000.0,212379000000.0,335038000000,46699000000.0,11209000000.0,124963000000.0,98071000000.0,149801000000.0,274764000000.0,70667000000.0,,1408000000.0,60274000000.0,335038000000
2023-09-30,111052,USD,2023,Q4,2023-11-03,2024-11-01,15599433000.0,15672399000.0,61555000000.0,29508000000.0,6331000000.0,143566000000.0,43715000000.0,100544000000.0,64758000000.0,209017000000.0,352583000000,62611000000.0,5985000000.0,135486000000.0,105103000000.0,154951000000.0,290437000000.0,73812000000.0,,-214000000.0,62146000000.0,352583000000
2023-12-31,111052,USD,2024,Q1,2024-02-02,2024-02-02,15509763000.0,15576641000.0,73100000000.0,23194000000.0,6511000000.0,143692000000.0,43666000000.0,99475000000.0,66681000000.0,209822000000.0,353514000000,58146000000.0,12952000000.0,133973000000.0,95088000000.0,145441000000.0,279414000000.0,75236000000.0,,8242000000.0,74100000000.0,353514000000
2024-03-31,111052,USD,2024,Q2,2024-05-03,2024-05-03,15405856000.0,15464709000.0,67150000000.0,21837000000.0,6232000000.0,128416000000.0,43546000000.0,95187000000.0,70262000000.0,208995000000.0,337411000000,45753000000.0,1997000000.0,113060000000.0,102593000000.0,150157000000.0,263217000000.0,78815000000.0,,4339000000.0,74194000000.0,337411000000
2024-06-30,111052,USD,2024,Q3,2024-08-02,2024-08-02,15287521000.0,15348175000.0,61801000000.0,22795000000.0,6165000000.0,125435000000.0,44502000000.0,91240000000.0,70435000000.0,206177000000.0,331612000000,47574000000.0,2994000000.0,119510000000.0,98310000000.0,145394000000.0,264904000000.0,79850000000.0,,-4726000000.0,66708000000.0,331612000000
2024-09-30,111052,USD,2024,Q4,2024-11-01,2025-10-31,15171992000.0,15242855000.0,65171000000.0,33410000000.0,7286000000.0,152987000000.0,45680000000.0,91479000000.0,74834000000.0,211993000000.0,364980000000,68960000000.0,9967000000.0,165480000000.0,96662000000.0,142550000000.0,308030000000.0,83276000000.0,,-19154000000.0,56950000000.0,364980000000
