Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash
2019-12-31,111052,USD,2020,Q1,2020-01-29,2021-01-28,17660160000.0,17818416000.0,22236000000.0,2816000000.0,1219000000.0,4245000000.0,,,,,30516000000,-2107000000.0,-10396000000.0,-958000000.0,-13668000000.0,-3539000000.0,231000000.0,-20704000000.0,-25407000000.0,-8559000000
2020-03-31,111052,USD,2020,Q2,2020-05-01,2021-04-29,17440404000.0,17618764000.0,11249000000.0,2786000000.0,1278000000.0,-2002000000.0,,,,,13311000000,-1853000000.0,11407000000.0,-176000000.0,9013000000.0,-3375000000.0,-1753000000.0,-18146000000.0,-20940000000.0,1384000000
2020-06-30,111052,USD,2020,Q3,2020-07-31,2021-07-28,17250292000.0,17419152000.0,11253000000.0,2752000000.0,2696000000.0,-430000000.0,,,,,16271000000,-1565000000.0,-2992000000.0,-339000000.0,-5165000000.0,-3656000000.0,-441000000.0,-15891000000.0,-19116000000.0,-8010000000
2020-09-30,111052,USD,2020,Q4,2020-10-30,2021-07-28,17057620000.0,17256524000.0,12673000000.0,2702000000.0,1324000000.0,3877000000.0,,,,,20576000000,-1784000000.0,7434000000.0,-51000000.0,5531000000.0,-3511000000.0,4462000000.0,-17617000000.0,-21357000000.0,4750000000
2020-12-31,111052,USD,2021,Q1,2021-01-28,2022-01-28,16935119000.0,17113688000.0,28755000000.0,2666000000.0,1987000000.0,5355000000.0,,,,,38763000000,-3500000000.0,-5279000000.0,,-8584000000.0,-3613000000.0,-978000000.0,-24775000000.0,-32249000000.0,-2070000000
2021-03-31,111052,USD,2021,Q2,2021-04-29,2022-01-28,16753476000.0,16929157000.0,23630000000.0,2797000000.0,1333000000.0,-3779000000.0,,,,,23981000000,-2269000000.0,-7895000000.0,-9000000.0,-10368000000.0,-3447000000.0,10423000000.0,-18548000000.0,-11326000000.0,2287000000
2021-06-30,111052,USD,2021,Q3,2021-07-28,2022-04-29,16844298000.0,17021423000.0,21744000000.0,2832000000.0,1215000000.0,-4697000000.0,,,,,21094000000,-2093000000.0,5747000000.0,-4000000.0,3572000000.0,-3767000000.0,0.0,-22900000000.0,-29396000000.0,-4730000000
2021-09-30,111052,USD,2021,Q4,2021-10-29,2022-07-29,16391724000.0,16519291000.0,20551000000.0,2989000000.0,-1550000000.0,-1790000000.0,,,,,20200000000,-3223000000.0,4352000000.0,13000000.0,835000000.0,-3640000000.0,3220000000.0,-19748000000.0,-20382000000.0,653000000
2021-12-31,111052,USD,2022,Q1,2022-01-28,2023-02-03,16391724000.0,16519291000.0,34630000000.0,2697000000.0,3114000000.0,6525000000.0,,,,,46966000000,-2803000000.0,-12929000000.0,,-16106000000.0,-3732000000.0,-1000000000.0,-20478000000.0,-28159000000.0,2701000000
2022-03-31,111052,USD,2022,Q2,2022-04-29,2023-02-03,16391724000.0,16519291000.0,25010000000.0,2737000000.0,2471000000.0,-2052000000.0,,,,,28166000000,-2514000000.0,-6390000000.0,,-9265000000.0,-3595000000.0,-1751000000.0,-22631000000.0,-28351000000.0,-9450000000
2022-06-30,111052,USD,2022,Q3,2022-07-29,2023-05-05,16162945000.0,16262203000.0,19442000000.0,2805000000.0,3870000000.0,-3225000000.0,,,,,22892000000,-2102000000.0,6953000000.0,,4234000000.0,-3811000000.0,971000000.0,-21865000000.0,-27445000000.0,-319000000
2022-09-30,111052,USD,2022,Q4,2022-10-28,2023-08-04,16215963000.0,16325819000.0,20721000000.0,2865000000.0,589000000.0,-48000000.0,,,,,24127000000,-3289000000.0,2806000000.0,,-1217000000.0,-3703000000.0,1657000000.0,-24428000000.0,-26794000000.0,-3884000000
2022-12-31,111052,USD,2023,Q1,2023-02-03,2024-02-02,15892723000.0,15955718000.0,29998000000.0,2916000000.0,2588000000.0,-1497000000.0,,,,,34005000000,-3787000000.0,2483000000.0,,-1445000000.0,-3768000000.0,-9615000000.0,-19475000000.0,-35563000000.0,-3003000000
2023-03-31,111052,USD,2023,Q2,2023-05-05,2024-02-02,15787154000.0,15847050000.0,24160000000.0,2898000000.0,1271000000.0,231000000.0,,,,,28560000000,-2916000000.0,5341000000.0,,2319000000.0,-3650000000.0,-1996000000.0,-19594000000.0,-25724000000.0,5155000000
2023-06-30,111052,USD,2023,Q3,2023-08-04,2024-05-03,15697614000.0,15775021000.0,19881000000.0,3052000000.0,2698000000.0,749000000.0,,,,,26380000000,-2093000000.0,3036000000.0,,437000000.0,-3849000000.0,-283000000.0,-17478000000.0,-24048000000.0,2769000000
2023-09-30,111052,USD,2023,Q4,2023-11-03,2024-08-02,15599433000.0,15672399000.0,22956000000.0,2653000000.0,2049000000.0,-6060000000.0,,,,,21598000000,-2163000000.0,5141000000.0,,2394000000.0,-3758000000.0,1993000000.0,-21003000000.0,-23153000000.0,839000000
2023-12-31,111052,USD,2024,Q1,2024-02-02,2025-01-31,15509763000.0,15576641000.0,33916000000.0,2848000000.0,2008000000.0,1123000000.0,,,,,39895000000,-2392000000.0,4603000000.0,,1927000000.0,-3825000000.0,-3984000000.0,-20139000000.0,-30585000000.0,11237000000
2024-03-31,111052,USD,2024,Q2,2024-05-03,2025-01-31,15405856000.0,15464709000.0,23636000000.0,2836000000.0,1982000000.0,-5764000000.0,,,,,22690000000,-1996000000.0,2131000000.0,,-310000000.0,-3710000000.0,-3148000000.0,-23205000000.0,-30433000000.0,-8053000000
2024-06-30,111052,USD,2024,Q3,2024-08-02,2025-05-02,15287521000.0,15348175000.0,21448000000.0,2850000000.0,2876000000.0,1684000000.0,,,,,28858000000,-2151000000.0,2412000000.0,,-127000000.0,-3895000000.0,-3253000000.0,-26522000000.0,-36017000000.0,-7286000000
2024-09-30,111052,USD,2024,Q4,2024-11-01,2025-08-01,15171992000.0,15242855000.0,14736000000.0,2911000000.0,2556000000.0,6608000000.0,,,,,26811000000,-2908000000.0,4544000000.0,,1445000000.0,-3804000000.0,4387000000.0,-25083000000.0,-24948000000.0,3308000000
