Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash
2019-12-31,59265,USD,2020,Q2,2020-01-29,2021-01-26,7621000000.0,7691000000.0,11649000000.0,3203000000.0,1084000000.0,-5256000000.0,-4203000000.0,799000000.0,-7000000.0,-1845000000.0,10680000000,-3545000000.0,-2411000000.0,-80000000.0,-6036000000.0,-3886000000.0,-18000000.0,-4972000000.0,-8915000000.0,-4253000000
2020-03-31,59265,USD,2020,Q3,2020-04-29,2021-04-27,7602000000.0,7675000000.0,10752000000.0,3118000000.0,1184000000.0,2450000000.0,891000000.0,181000000.0,546000000.0,832000000.0,17504000000,-3767000000.0,4147000000.0,-329000000.0,51000000.0,-3876000000.0,-3000000000.0,-6717000000.0,-14645000000.0,2846000000
2020-06-30,59265,USD,2020,Q4,2020-07-30,2022-07-28,7583000000.0,7656000000.0,11202000000.0,3504000000.0,-1700000000.0,2250000000.0,-9355000000.0,-251000000.0,3026000000.0,8830000000.0,15256000000,-4744000000.0,3173000000.0,-1650000000.0,-2750000000.0,-3865000000.0,0.0,-5451000000.0,-10557000000.0,1866000000
2020-09-30,59265,USD,2021,Q1,2020-10-27,2021-10-26,7566000000.0,7637000000.0,13893000000.0,2645000000.0,1317000000.0,1480000000.0,8843000000.0,-808000000.0,315000000.0,-6870000000.0,19335000000,-4907000000.0,2100000000.0,-481000000.0,-5371000000.0,-3856000000.0,0.0,-6198000000.0,-10289000000.0,3629000000
2020-12-31,59265,USD,2021,Q2,2021-01-26,2022-01-25,7555000000.0,7616000000.0,15463000000.0,2761000000.0,1195000000.0,-6903000000.0,-4008000000.0,788000000.0,33000000.0,-3716000000.0,12516000000,-4174000000.0,2593000000.0,-415000000.0,-1669000000.0,-4230000000.0,-3250000000.0,-6233000000.0,-13634000000.0,-2773000000
2021-03-31,59265,USD,2021,Q3,2021-04-27,2022-04-26,7539000000.0,7597000000.0,15457000000.0,2936000000.0,1086000000.0,2700000000.0,290000000.0,-329000000.0,833000000.0,1906000000.0,22179000000,-5089000000.0,2517000000.0,-7512000000.0,-9684000000.0,-4221000000.0,-500000000.0,-6534000000.0,-13192000000.0,-730000000
2021-06-30,59265,USD,2021,Q4,2021-07-29,2022-04-26,7554000000.0,7617000000.0,16458000000.0,3344000000.0,-633000000.0,1787000000.0,,,,,20956000000,-6452000000.0,-4334000000.0,-501000000.0,-10700000000.0,-4214000000.0,0.0,-6727000000.0,-9770000000.0,522000000
2021-09-30,59265,USD,2022,Q1,2021-10-26,2022-10-25,7505000000.0,7555000000.0,20505000000.0,3212000000.0,-4632000000.0,5455000000.0,,,,,24540000000,-5810000000.0,4183000000.0,-1206000000.0,-3005000000.0,-4206000000.0,-4826000000.0,-7072000000.0,-16521000000.0,4941000000
2021-12-31,59265,USD,2022,Q2,2022-01-25,2023-01-24,7505000000.0,7555000000.0,18765000000.0,3496000000.0,1773000000.0,-9554000000.0,-5543000000.0,394000000.0,235000000.0,-4640000000.0,14480000000,-6715000000.0,390000000.0,,-1161000000.0,-4652000000.0,0.0,-7142000000.0,-11986000000.0,1439000000
2022-03-31,59265,USD,2022,Q3,2022-04-26,2023-04-25,7505000000.0,7555000000.0,16728000000.0,3773000000.0,1813000000.0,3072000000.0,,,,,25386000000,-5340000000.0,9069000000.0,-18719000000.0,-15148000000.0,-4645000000.0,-4197000000.0,-8345000000.0,-18368000000.0,-8106000000
