Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
2019-12-31,59265,USD,2020,Q2,2020-01-29,2021-01-26,7621000000.0,7691000000.0,36906000000.0,-12358000000.0,24548000000.0,-10657000000.0,-6054000000.0,-4603000000.0,,13891000000.0,194000000.0,,14085000000.0,,14085000000,-2436000000.0,11649000000,,11649000000,11649000000
2020-03-31,59265,USD,2020,Q3,2020-04-29,2021-04-27,7602000000.0,7675000000.0,35021000000.0,-10975000000.0,24046000000.0,-11071000000.0,-6184000000.0,-4887000000.0,,12975000000.0,-132000000.0,,12843000000.0,,12843000000,-2091000000.0,10752000000,,10752000000,10752000000
2020-06-30,59265,USD,2020,Q4,2020-07-30,2022-07-28,7583000000.0,7656000000.0,38033000000.0,-12339000000.0,25694000000.0,-12287000000.0,-7073000000.0,-5214000000.0,,13407000000.0,15000000.0,,13422000000.0,,13422000000,-2220000000.0,11202000000,,11202000000,11202000000
2020-09-30,59265,USD,2021,Q1,2020-10-27,2021-10-26,7566000000.0,7637000000.0,37154000000.0,-11002000000.0,26152000000.0,-10276000000.0,-5350000000.0,-4926000000.0,,15876000000.0,248000000.0,,16124000000.0,,16124000000,-2231000000.0,13893000000,,13893000000,13893000000
2020-12-31,59265,USD,2021,Q2,2021-01-26,2022-01-25,7555000000.0,7616000000.0,43076000000.0,-14194000000.0,28882000000.0,-10985000000.0,-6086000000.0,-4899000000.0,,17897000000.0,440000000.0,,18337000000.0,,18337000000,-2874000000.0,15463000000,,15463000000,15463000000
2021-03-31,59265,USD,2021,Q3,2021-04-27,2022-04-26,7539000000.0,7597000000.0,41706000000.0,-13045000000.0,28661000000.0,-11613000000.0,-6409000000.0,-5204000000.0,,17048000000.0,188000000.0,,17236000000.0,,17236000000,-1779000000.0,15457000000,,15457000000,15457000000
2021-06-30,59265,USD,2021,Q4,2021-07-29,2022-04-26,7554000000.0,7617000000.0,46152000000.0,-13991000000.0,32161000000.0,-13066000000.0,-7379000000.0,-5687000000.0,,19095000000.0,310000000.0,,19405000000.0,,19405000000,-2947000000.0,16458000000,,16458000000,16458000000
2021-09-30,59265,USD,2022,Q1,2021-10-26,2022-10-25,7505000000.0,7555000000.0,45317000000.0,-13646000000.0,31671000000.0,-11433000000.0,-5834000000.0,-5599000000.0,,20238000000.0,286000000.0,,20524000000.0,,20524000000,-19000000.0,20505000000,,20505000000,20505000000
2021-12-31,59265,USD,2022,Q2,2022-01-25,2023-01-24,7505000000.0,7555000000.0,51728000000.0,-16960000000.0,34768000000.0,-12521000000.0,-6763000000.0,-5758000000.0,,22247000000.0,268000000.0,,22515000000.0,,22515000000,-3750000000.0,18765000000,,18765000000,18765000000
2022-03-31,59265,USD,2022,Q3,2022-04-26,2023-04-25,7505000000.0,7555000000.0,49360000000.0,-15615000000.0,33745000000.0,-13381000000.0,-7075000000.0,-6306000000.0,,20364000000.0,-174000000.0,,20190000000.0,,20190000000,-3462000000.0,16728000000,,16728000000,16728000000
2022-06-30,59265,USD,2022,Q4,2022-07-28,2023-04-25,7496000000.0,7540000000.0,51865000000.0,-16429000000.0,35436000000.0,-14902000000.0,-8053000000.0,-6849000000.0,,20534000000.0,-47000000.0,,20487000000.0,,20487000000,-3747000000.0,16740000000,,16740000000,16740000000
2022-09-30,59265,USD,2023,Q1,2022-10-25,2023-10-24,7457000000.0,7485000000.0,50122000000.0,-15452000000.0,34670000000.0,-13152000000.0,-6524000000.0,-6628000000.0,,21518000000.0,54000000.0,,21572000000.0,,21572000000,-4016000000.0,17556000000,,17556000000,17556000000
2022-12-31,59265,USD,2023,Q2,2023-01-24,2024-01-30,7451000000.0,7473000000.0,52747000000.0,-17488000000.0,35259000000.0,-14860000000.0,-8016000000.0,-6844000000.0,,20399000000.0,-60000000.0,,20339000000.0,,20339000000,-3914000000.0,16425000000,,16425000000,16425000000
